Day,Housekeeper,Room Name,Completion Time,Link
Monday,D,72 Building Trash,30,
Monday,D,25/52 Building Trash,30,
Monday,D,92 Building Trash,30,
Monday,D,Room 320,30,
Monday,D,Room 323,30,
Monday,D,Room 326,30,
Monday,D,Room 328,30,
Monday,D,Room 330,20,
Monday,C,Bathroom 72-3-1,45,
Monday,C,Bathroom 72-3-2,45,
Monday,D,Entrance A,30,
Tuesday,D,Room 220,30,
Tuesday,D,Kitchen 72-2,30,
Tuesday,D,Hallway 72-2,60,
Tuesday,C,Bathroom 72-2-1,45,
Tuesday,C,Bathroom 72-2-2,45,
Tuesday,D,The Zone,120,
Tuesday,C,Bathroom Zone,45,
Wednesday,D,Hallway 72-1,60,
Wednesday,D,Room 124,30,
Wednesday,D,Room 127,30,
Wednesday,D,Room 128,30,
Wednesday,D,Room 130,30,
Wednesday,D,Bathroom 130,30,
Wednesday,D,Room 134,30,
Wednesday,C,Bathroom 72-1-1,45,
Wednesday,C,Bathroom 72-1-2,45,
Wednesday,C,Bathroom 127,45,
Wednesday,D,Stairwell F,30,
Wednesday,D,Entrance F,30,
Friday,D,Room Office,120,
Friday,D,Room Conference,30,
Friday,D,Kitchen Office,30,
Friday,D,Room Meet 1,15,
Friday,D,Room Meet 2,15,
Friday,D,Room Meet 3,15,
Monday,D,Hallway FH1,60,
Monday,D,Hallway FH2,60,
Monday,D,Room 108-110,60,
Monday,D,Room 113,30,
Monday,D,Room 112,30,
Monday,D,Room 111,30,
Monday,D,Kitchen 92-1,60,
Monday,C,Bathroom 92-1-1,45,
Monday,C,Bathroom 92-1-2,45,
Tuesday,D,Room 118,30,
Tuesday,C,Bathroom 118,45,
Tuesday,D,Entrance E,30,
Tuesday,D,Hallway 92-1,60,
Wednesday,D,Stairwell E,30,
Wednesday,D,Stairwell B,30,
Wednesday,D,Worship Center,120,
Wednesday,D,Worship Center Balcony,60,
Thursday,C,Bathroom 92-2-1,45,
Thursday,C,Bathroom 92-2-2,45,
Thursday,C,Bathroom 92-3-1,45,
Thursday,C,Bathroom 92-3-2,45,
Wednesday,D,Hallway 92-2,60,
Wednesday,D,Hallway 92-3,60,
Thursday,D,Hallway 25-2,60,
Friday,D,Hallway 25-1,60,
Thursday,C,Bathroom 25-2-1,45,
Thursday,C,Bathroom 25-2-2,45,
Thursday,D,Gym (Lower),60,
Thursday,D,Refill Baptistry,30,
Monday,D,Confirm that your schedule in is in the calendar-GR,0,https://form.jotform.com/250955404825056?space=Confirm that your schedule in is in the calendar-GR
