Day,Housekeeper,Room Name,Completion Time,Link
Monday,D,72 Building Trash,30,
Monday,D,25/52 Building Trash,30,
Monday,B,92 Building Trash,30,
Tuesday,D,Room 220,30,
Tuesday,D,Hallway 72-2,60,
Tuesday,D,Bathroom 72-2-1,45,
Tuesday,D,Bathroom 72-2-2,45,
Tuesday,D,Bathroom Zone,45,
Wednesday,D,Bathroom 72-1-1,45,
Wednesday,D,Bathroom 72-1-2,45,
Wednesday,D,Bathroom 127,45,
Wednesday,D,Stairwell F,30,
Wednesday,D,Entrance F,30,
Monday,B,Kitchen 92-1,60,
Monday,B,Bathroom 102,45,
Monday,B,Bathroom 92-1-1,45,
Monday,B,Bathroom 92-1-2,45,
Tuesday,B,Bathroom 118,45,
Tuesday,B,Entrance E,30,
Tuesday,B,Hallway 92-1,60,
Wednesday,B,Worship Center,120,
Wednesday,B,Worship Center Balcony,60,
Thursday,B,Bathroom 92-2-1,45,
Thursday,B,Bathroom 92-2-2,45,
Thursday,B,Bathroom 92-3-1,45,
Thursday,B,Bathroom 92-3-2,45,
Wednesday,B,Hallway 92-2,60,
Wednesday,B,Hallway 92-3,60,
Thursday,B,Refill Baptistry,30,
Any,B,Wipe Classroom Tables,60,https://form.jotform.com/250955404825056?space=Wipe Classroom Tables
Any,B,Office Trash,30,https://form.jotform.com/250955404825056?space=Office Trash
